Coverage ErrorRate EditDis n Freq
150 0.5 6 12 1059
150 0.5 6 13 1726
150 0.5 6 14 2717
150 0.5 6 15 4140
150 0.5 6 16 5856
150 0.5 6 17 7949
150 0.5 6 18 10604
150 0.5 6 19 13329
150 0.5 6 20 16754
150 0.5 6 21 20077
150 0.5 6 22 23528
150 0.5 6 23 27264
150 0.5 6 24 29462
150 0.5 6 25 31026
150 0.5 6 26 33142
150 0.5 6 27 33107
150 0.5 6 28 32960
150 0.5 6 29 31390
150 0.5 6 30 28409
150 0.5 6 31 25542
150 0.5 6 32 22951
150 0.5 6 33 19998
150 0.5 6 34 15933
150 0.5 6 35 13146
150 0.5 6 36 10084
150 0.5 6 37 7360
150 0.5 6 38 5232
150 0.5 6 39 3941
150 0.5 6 40 2821
150 0.5 6 41 1800
150 0.5 6 42 1292
150 0.5 6 43 759
150 0.5 6 44 556
150 0.5 6 45 323
150 0.5 6 46 105
150 0.5 6 47 133
150 0.5 6 48 68
150 0.5 6 49 25
150 0.5 6 50 26
150 0.5 6 55 6
150 1 0 1 55568
150 1 0 2 78006
150 1 0 3 75308
150 1 0 4 55270
150 1 0 5 31692
150 1 0 6 16219
150 1 0 7 6512
150 1 0 8 2133
150 1 0 9 890
150 1 0 10 187
150 1 0 11 72
150 1 0 12 26
150 1 2 1 12062
150 1 2 2 22893
150 1 2 3 30064
150 1 2 4 32700
150 1 2 5 33814
150 1 2 6 34885
150 1 2 7 38624
150 1 2 8 42522
150 1 2 9 45218
150 1 2 10 43956
150 1 2 11 38730
150 1 2 12 33067
150 1 2 13 25016
150 1 2 14 18508
150 1 2 15 12118
150 1 2 16 7912
150 1 2 17 4831
150 1 2 18 2574
150 1 2 19 1159
150 1 2 20 727
150 1 2 21 364
150 1 2 22 162
150 1 2 23 48
150 1 2 24 26
150 1 2 25 8
150 1 4 1 187
150 1 4 2 399
150 1 4 3 727
150 1 4 4 1376
150 1 4 5 2472
150 1 4 6 4139
150 1 4 7 6826
150 1 4 8 10240
150 1 4 9 14197
150 1 4 10 18511
150 1 4 11 22306
150 1 4 12 26091
150 1 4 13 29432
150 1 4 14 32720
150 1 4 15 35266
150 1 4 16 36686
150 1 4 17 36665
150 1 4 18 36420
150 1 4 19 34005
150 1 4 20 30098
150 1 4 21 25958
150 1 4 22 21762
150 1 4 23 17702
150 1 4 24 13340
150 1 4 25 10178
150 1 4 26 7377
150 1 4 27 4655
150 1 4 28 2979
150 1 4 29 2075
150 1 4 30 1298
150 1 4 31 763
150 1 4 32 339
150 1 4 33 247
150 1 4 34 140
150 1 4 35 99
150 1 4 36 53
150 1 4 37 7
150 1 4 38 16
150 1 4 39 6
150 1 4 41 9
150 1 6 1 2
150 1 6 2 5
150 1 6 3 2
150 1 6 4 8
150 1 6 5 37
150 1 6 6 73
150 1 6 7 138
150 1 6 8 276
150 1 6 9 498
150 1 6 10 904
150 1 6 11 1505
150 1 6 12 2550
150 1 6 13 3822
150 1 6 14 5722
150 1 6 15 7927
150 1 6 16 10555
150 1 6 17 13430
150 1 6 18 16900
150 1 6 19 20373
150 1 6 20 23419
150 1 6 21 26137
150 1 6 22 28577
150 1 6 23 31106
150 1 6 24 32492
150 1 6 25 33027
150 1 6 26 32088
150 1 6 27 30517
150 1 6 28 29124
150 1 6 29 25875
150 1 6 30 23047
150 1 6 31 19764
150 1 6 32 16515
150 1 6 33 13071
150 1 6 34 10536
150 1 6 35 8254
